name_x,height_x,weight_x,reach_x,fx_win,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,name_y,height_y,weight_y,reach_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y,stance_x_Open Stance,stance_x_Orthodox,stance_x_Sideways,stance_x_Southpaw,stance_x_Switch,stance_y_Open Stance,stance_y_Orthodox,stance_y_Sideways,stance_y_Southpaw,stance_y_Switch
Aaron Phillips,1.75,135.0,1.78,0,25.05,7.27,0.8,6.33,0.74,0.0,0.0,0.62,1.0,0.89,Matt Hobar,1.78,135.0,1.78,27.63,2.52,0.26,9.71,0.59,0.0,0.0,1.0,0.0,0.8,0,0,0,1,0,0,0,0,1,0
Aaron Riley,1.73,155.0,1.75,0,25.1,6.2,0.55,5.8,0.49,0.0,0.0,0.75,1.0,0.72,Spencer Fisher,1.7,155.0,1.78,29.69,2.26,0.48,8.64,0.62,1.54,0.5,1.0,4.63,0.85,0,0,0,1,0,0,0,0,1,0
Aaron Riley,1.73,155.0,1.75,1,27.93,5.5,0.54,5.85,0.48,1.5,0.29,0.75,0.75,0.7,Jorge Gurgel,1.7,155.0,1.75,31.81,5.8,0.5,5.8,0.5,1.0,0.5,0.5,0.0,0.64,0,0,0,1,0,0,1,0,0,0
Aaron Riley,1.73,155.0,1.75,1,28.66,6.91,0.52,5.96,0.45,1.26,0.38,0.58,0.42,0.69,Shane Nelson,1.75,155.0,1.78,24.69,6.85,0.42,6.85,0.42,0.0,0.0,0.0,0.0,0.78,0,0,0,1,0,0,0,0,1,0
Aaron Riley,1.73,155.0,1.75,1,29.47,7.68,0.53,6.1,0.5,1.11,0.38,0.11,0.0,0.68,Joe Brammer,1.73,155.0,1.73,26.77,1.39,0.24,4.17,0.58,0.0,0.0,1.0,0.0,0.7,0,0,0,1,0,0,1,0,0,0
Aaron Riley,1.73,155.0,1.75,0,32.63,6.9,0.56,5.2,0.5,1.68,0.33,0.14,0.0,0.67,Justin Salas,1.73,155.0,1.78,31.37,4.41,0.52,5.96,0.55,3.73,0.21,0.27,0.0,0.9,0,0,0,1,0,0,0,0,1,0
Aaron Rosa,1.93,205.0,1.98,0,28.76,14.79,0.69,8.82,0.61,0.0,0.0,0.14,0.0,0.81,James Te Huna,1.88,185.0,1.9,30.42,7.29,0.74,6.97,0.73,4.82,0.43,0.35,0.8,0.65,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,1,35.11,16.17,0.68,1.2,0.4,8.98,1.0,0.0,0.0,0.71,Ed Herman,1.85,205.0,1.96,28.91,8.48,0.72,6.96,0.71,4.05,0.52,0.44,0.62,0.68,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,1,35.48,9.5,0.62,2.3,0.36,8.63,1.0,0.0,0.0,0.75,Tom Lawlor,1.83,205.0,1.88,26.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,0.71,0,1,0,0,0,0,0,0,1,0
Aaron Simpson,1.83,170.0,1.85,0,36.34,6.38,0.55,3.46,0.42,4.1,0.6,0.17,0.0,0.67,Mark Munoz,1.83,185.0,1.83,32.78,3.82,0.53,5.06,0.58,1.86,0.14,0.29,0.74,0.7,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,1,36.95,5.68,0.52,4.55,0.47,4.47,0.52,0.2,0.0,0.7,Brad Tavares,1.85,185.0,1.88,23.53,5.77,0.74,5.31,0.79,0.0,0.0,0.0,0.0,0.7,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,1,37.22,6.17,0.6,4.12,0.5,3.58,0.34,0.21,0.6,0.73,Eric Schafer,1.91,185.0,1.9,34.05,5.43,0.55,7.41,0.57,1.17,0.38,0.55,1.56,0.62,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,0,37.58,5.57,0.56,3.5,0.44,2.25,0.28,0.21,0.5,0.67,Ronny Markes,1.85,185.0,1.9,23.82,9.47,0.78,9.47,0.78,6.0,1.0,1.0,0.0,0.79,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,1,37.98,5.58,0.61,3.8,0.5,1.75,0.23,0.29,0.5,0.69,Kenny Robertson,1.78,170.0,1.88,28.41,4.38,0.47,6.02,0.65,0.0,0.0,0.5,0.0,0.92,0,1,0,0,0,0,1,0,0,0
Aaron Simpson,1.83,170.0,1.85,0,38.21,6.03,0.67,2.97,0.51,2.0,0.24,0.19,0.5,0.71,Mike Pierce,1.73,170.0,1.78,32.09,6.55,0.61,5.48,0.56,1.25,0.25,0.22,0.0,0.7,0,1,0,0,0,0,1,0,0,0
